,R2,Model
14,-0.003711861110314185,RF
15,-0.004345694305629255,RF
16,0.0009516971662908436,RF
17,-0.0012784626874102756,RF
18,0.001510334332009755,RF
19,-0.0007291704406806598,RF
20,0.0008325354338817315,RF
21,-0.002518912209478419,RF
22,0.002901467055627882,RF
23,0.003065965593794795,RF
24,-0.002483468087082441,RF
25,-0.0039222999455217344,RF
26,-0.003790726065867167,RF
27,-0.004713325060232698,RF
28,0.004156317013894628,RF
29,0.0039299801676943025,RF
30,-0.0003518047938053659,RF
31,0.0004167111717179317,RF
32,-0.001035942566381065,RF
33,0.0008774077463401531,RF
34,-0.0005257212719604887,RF
35,-0.0035728769691911744,RF
36,0.0006362294658744938,RF
37,0.002604707847586263,RF
38,-4.4464870633253994e-05,RF
39,0.0004502886138224582,RF
40,-0.002151969980476176,RF
41,0.00313533538855848,RF
42,-0.0009818366079066276,RF
43,0.0040333457356055424,RF
44,-0.007523123439701962,RF
45,0.0004228218295828645,RF
46,0.0012460346694282975,RF
47,0.001649821845777999,RF
48,-0.0005042001047477207,RF
49,0.0005580383647917353,RF
0,0.00038480222883274795,GB
1,-0.0038132264127848092,GB
2,0.0038405130296476075,GB
3,0.0005696232209445595,GB
4,0.0016677782041971678,GB
5,0.0011047604001829248,GB
6,-0.0036441873352632825,GB
7,0.0012194622576227054,GB
8,0.001125039330312494,GB
9,0.0016815264816797404,GB
10,0.0006891199515403068,GB
11,0.0002218561786263562,GB
12,-0.002979565645192528,GB
13,0.0014423309541863327,GB
14,-0.0013592147710790314,GB
15,-0.0019760729226356855,GB
16,-0.0015870169026903636,GB
17,0.00236931276874075,GB
18,0.0043460861411384055,GB
19,0.0003507220578441439,GB
20,-0.0012335490265007465,GB
21,-0.003615457438536751,GB
22,0.0024053738042267847,GB
23,-0.0022110739148939462,GB
24,0.002695401897631844,GB
25,0.004187053841854915,GB
26,-0.005503531034462661,GB
27,0.003187792558072,GB
28,0.0012388516069975486,GB
29,3.577040571123291e-05,GB
30,0.0008061505371564914,GB
31,-0.006036091388861298,GB
32,0.0008923332827487362,GB
33,-0.0003099509400212863,GB
34,-0.005119376734224801,GB
35,0.0028954869291135665,GB
36,-0.0033832059572758144,GB
37,-0.0031203723788106874,GB
38,0.0012542012610773368,GB
39,0.0011927825806399284,GB
40,-0.0023901394980689883,GB
41,0.002044027410595284,GB
42,-0.00013216952904770984,GB
43,-0.0008305704202820063,GB
44,0.0019810214863730247,GB
45,-0.003430964199997444,GB
46,-0.0037945703061239566,GB
47,0.003814194050778874,GB
48,0.0007721112734624391,GB
49,0.0015649649044184866,GB
0,-0.0017826024183220657,XGB
1,0.00271025815166992,XGB
2,-0.0005526761491048138,XGB
3,-0.001979120883307983,XGB
4,0.0022293113539020304,XGB
5,-0.0011386701609574779,XGB
6,0.0015156869029901987,XGB
7,-0.0004987332754591289,XGB
8,-0.001120747721512716,XGB
9,-0.0004767938885179568,XGB
10,0.0008436632927457666,XGB
11,-0.007262213098063075,XGB
12,-0.00042908360127369427,XGB
13,0.0015181046572353418,XGB
14,0.0032528345480319354,XGB
15,-0.0017325393917302367,XGB
16,-0.0003772645385680118,XGB
17,0.0025989131040127234,XGB
18,0.000652567904939505,XGB
19,0.0015943016531762,XGB
20,-0.0006098079041003679,XGB
21,-0.0018395070476504571,XGB
22,-0.0008584798018551609,XGB
23,-0.0033197884028841607,XGB
24,0.0007551804197171164,XGB
25,0.0003564493164627258,XGB
26,-0.002844686428531862,XGB
27,-0.001028517001035123,XGB
28,-0.0002174446970297783,XGB
29,0.0005672476635544266,XGB
30,-0.0025645659667186127,XGB
31,-0.00030603584009680773,XGB
32,-0.0025854511624967547,XGB
33,0.0042980200179060235,XGB
34,-0.0013435105072234776,XGB
35,0.004699122264691824,XGB
36,-0.0018884455705301395,XGB
37,-0.0015793887017518937,XGB
38,-0.0024679054992180482,XGB
39,0.003620193430594165,XGB
40,0.0004180955299961653,XGB
41,0.002370353915511436,XGB
42,0.0020745444922263268,XGB
43,0.000252113364487494,XGB
44,-0.003567187485052692,XGB
45,-0.0030718513642604695,XGB
46,-0.0030741909034113224,XGB
47,-0.0023568028448865963,XGB
48,0.0014880139887932797,XGB
49,-0.0005492417245791525,XGB
0,-0.0017793794627649628,XGBRF
1,-0.0004071409976695861,XGBRF
2,-0.0004933027581479621,XGBRF
3,-0.004348804245143834,XGBRF
4,-0.0006329413359504876,XGBRF
5,0.0018693168638783675,XGBRF
6,0.0012920521979603583,XGBRF
