,R2,Model,Region,Data
72,0.49745557991125766,LGB,Region,Species
73,0.4486709220868901,LGB,Region,Species
74,0.4551767852228539,LGB,Region,Species
75,0.497641517260484,LGB,Region,Species
76,0.47174066835061035,LGB,Region,Species
77,0.4460850638764712,LGB,Region,Species
78,0.4817285950776272,LGB,Region,Species
79,0.4290605916023449,LGB,Region,Species
80,0.47525178227240894,LGB,Region,Species
81,0.4710161921693573,LGB,Region,Species
82,0.44050338987570736,LGB,Region,Species
83,0.4673673299853376,LGB,Region,Species
84,0.48778698584710733,LGB,Region,Species
85,0.44780913498321984,LGB,Region,Species
86,0.437651459431598,LGB,Region,Species
87,0.495053896743445,LGB,Region,Species
88,0.4585801238908679,LGB,Region,Species
89,0.4904949094086133,LGB,Region,Species
90,0.4579705709533599,LGB,Region,Species
91,0.4785670729583704,LGB,Region,Species
92,0.45138671469345615,LGB,Region,Species
93,0.5001982203761379,LGB,Region,Species
94,0.4755881966551734,LGB,Region,Species
95,0.44078263980313026,LGB,Region,Species
96,0.4889701113817798,LGB,Region,Species
97,0.46151912394409766,LGB,Region,Species
98,0.4805059955789217,LGB,Region,Species
99,0.5046021791540052,LGB,Region,Species
100,0.45275870253914585,EM,Non-Region,Species
101,0.5060636897897843,EM,Non-Region,Species
102,0.49365260843899517,EM,Non-Region,Species
103,0.48443223051676965,EM,Non-Region,Species
104,0.4883129083509782,EM,Non-Region,Species
105,0.5066841469170493,EM,Non-Region,Species
106,0.482297443348932,EM,Non-Region,Species
107,0.486716594151688,EM,Non-Region,Species
108,0.47496595927051966,EM,Non-Region,Species
109,0.46257212908472856,EM,Non-Region,Species
110,0.4784346042977461,EM,Non-Region,Species
111,0.47695099403327135,EM,Non-Region,Species
112,0.5024869389708722,EM,Non-Region,Species
113,0.4780739874269798,EM,Non-Region,Species
114,0.5018342441047163,EM,Non-Region,Species
115,0.48785732928988623,EM,Non-Region,Species
116,0.47718582746347005,EM,Non-Region,Species
117,0.4928163333742581,EM,Non-Region,Species
118,0.4715971093510568,EM,Non-Region,Species
119,0.45050705577185457,EM,Non-Region,Species
120,0.4793377042980178,EM,Non-Region,Species
121,0.4864419973859605,EM,Non-Region,Species
122,0.49769448204016264,EM,Non-Region,Species
123,0.48207801436073083,EM,Non-Region,Species
124,0.46572778696689254,EM,Non-Region,Species
125,0.4636422782515345,EM,Non-Region,Species
126,0.4934416568426693,EM,Non-Region,Species
127,0.472918398150985,EM,Non-Region,Species
128,0.4699968845525061,EM,Non-Region,Species
129,0.4965239874965839,EM,Non-Region,Species
130,0.48717131326223395,EM,Non-Region,Species
131,0.4726066767780843,EM,Non-Region,Species
132,0.5091548637690233,EM,Non-Region,Species
133,0.4802887260575479,EM,Non-Region,Species
134,0.4711725362642081,EM,Non-Region,Species
135,0.47370169543401064,EM,Non-Region,Species
136,0.48756695952946727,EM,Non-Region,Species
137,0.4591223749079808,EM,Non-Region,Species
138,0.4724621126657784,EM,Non-Region,Species
139,0.5104626427711427,EM,Non-Region,Species
140,0.4985769506710408,EM,Non-Region,Species
141,0.49178659364147326,EM,Non-Region,Species
142,0.43629424636437664,EM,Non-Region,Species
143,0.49398344077525513,EM,Non-Region,Species
144,0.5061832841568543,EM,Non-Region,Species
145,0.4718255328471891,EM,Non-Region,Species
146,0.4952183859507304,EM,Non-Region,Species
147,0.48293810384143254,EM,Non-Region,Species
148,0.4786749046408941,EM,Non-Region,Species
149,0.4988488278533274,EM,Non-Region,Species
150,0.5119854093331353,EM,Region,Species
151,0.47256527603681264,EM,Region,Species
152,0.48645317086196427,EM,Region,Species
153,0.4940102608126846,EM,Region,Species
154,0.4898089329319053,EM,Region,Species
155,0.5111040721385823,EM,Region,Species
156,0.5076379513064346,EM,Region,Species
157,0.48841668438763364,EM,Region,Species
158,0.5057626695884572,EM,Region,Species
159,0.45656559213162884,EM,Region,Species
160,0.5182887167481534,EM,Region,Species
161,0.48224600747830937,EM,Region,Species
162,0.5206347859288911,EM,Region,Species
163,0.4915426540985105,EM,Region,Species
164,0.4702721342019538,EM,Region,Species
165,0.4939329804219985,EM,Region,Species
166,0.4952456200271248,EM,Region,Species
167,0.511024263542241,EM,Region,Species
168,0.4868754044848962,EM,Region,Species
169,0.49486899195827727,EM,Region,Species
170,0.48643178653751373,EM,Region,Species
171,0.4882776825671089,EM,Region,Species
172,0.5077985288696206,EM,Region,Species
173,0.5034384252561248,EM,Region,Species
174,0.5018630519405763,EM,Region,Species
175,0.4828457341760328,EM,Region,Species
176,0.5221518170234741,EM,Region,Species
177,0.5020604613477051,EM,Region,Species
178,0.47133745177531794,EM,Region,Species
179,0.49439659879869835,EM,Region,Species
180,0.4780817568589455,EM,Region,Species
181,0.4916165409609975,EM,Region,Species
182,0.493797595838138,EM,Region,Species
183,0.4973679450364553,EM,Region,Species
184,0.4973125873845269,EM,Region,Species
185,0.49494880108529926,EM,Region,Species
186,0.5021909927636561,EM,Region,Species
187,0.505230234252386,EM,Region,Species
188,0.4980903758580244,EM,Region,Species
189,0.47938786133341504,EM,Region,Species
190,0.5032102761027869,EM,Region,Species
191,0.49294535697756603,EM,Region,Species
192,0.5187528074955061,EM,Region,Species
193,0.5004347401205975,EM,Region,Species
194,0.465432981417806,EM,Region,Species
195,0.44757772727808476,EM,Region,Species
196,0.4787048251360587,EM,Region,Species
197,0.5078602267929344,EM,Region,Species
198,0.5424360030140887,EM,Region,Species
199,0.48162885715093595,EM,Region,Species
200,0.4514197529540185,LGB,Non-Region,Pathway
201,0.3927105419147313,LGB,Non-Region,Pathway
202,0.38737498947828974,LGB,Non-Region,Pathway
203,0.41264533227770284,LGB,Non-Region,Pathway
204,0.3948860188448684,LGB,Non-Region,Pathway
205,0.41519788366347,LGB,Non-Region,Pathway
206,0.3560081554848542,LGB,Non-Region,Pathway
207,0.39466062205748986,LGB,Non-Region,Pathway
208,0.4248700951333749,LGB,Non-Region,Pathway
209,0.4190822854073717,LGB,Non-Region,Pathway
210,0.391956508174512,LGB,Non-Region,Pathway
211,0.38398994980459267,LGB,Non-Region,Pathway
