,Fid,ALE,Fv,rFv,tFid
47704,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.570865477384277,-0.1259135352987764,-0.0007418499146204,Firmicutes bacterium CAG 94
47705,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5708670875018802,-0.1250769828899137,-0.0007369211646523,Firmicutes bacterium CAG 94
47706,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5592722190510779,-0.1233631784501203,-0.0007268238730917,Firmicutes bacterium CAG 94
47707,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5604390899795926,-0.1222337721234968,-0.0007201697037445,Firmicutes bacterium CAG 94
47708,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5698610654045482,-0.1201234492418335,-0.0007077362282975,Firmicutes bacterium CAG 94
47709,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5791234052871375,-0.1191494414721973,-0.0007019976269706,Firmicutes bacterium CAG 94
47710,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5790217977942707,-0.1174946727673904,-0.0006922481586591,Firmicutes bacterium CAG 94
47711,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5727799525385098,-0.1163919520336755,-0.0006857512139088,Firmicutes bacterium CAG 94
47712,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5911342341934958,-0.1158162308310833,-0.0006823592138035,Firmicutes bacterium CAG 94
47713,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,0.5980823425914443,-0.1148850509823358,-0.000676872943486,Firmicutes bacterium CAG 94
