age,pred
55,37.77436779
64,48.19293261
34,44.32645815
58,47.88109641
64,45.29603754
39,31.35542527
37,37.89661602
53,43.52751202
60,41.39465907
52,33.52708374
46,46.53871343
46,47.23429457
59,47.8907579
57,48.61498631
23,47.41269565
59,43.68315166
40,41.98049015
59,44.57234104
38,38.89677325
43,45.69228187
54,51.14561087
61,47.11710308
64,48.36124347
46,46.38655864
35,44.41915992
65,50.27718546
41,36.65733645
29,31.62084584
35,47.2300121
48,50.47950197
36,46.79222368
23,43.10412412
58,43.86522974
50,44.29073793
42,44.60511458
37,38.79729198
46,39.82858493
47,52.5862341
50,45.87642784
31,45.63739257
51,40.08246288
41,47.79847533
25,41.44837092
34,36.30687727
42,45.04855858
54,41.13312606
53,41.62759541
59,50.44519422
22,40.49954296
64,50.87747942
26,43.81388923
53,47.26730063
40,40.88901602
35,44.42658273
59,43.22244763
65,53.69407722
46,45.5890708
49,35.06857559
62,38.31331557
52,50.02913072
45,42.2148975
64,48.44399466
31,46.99297695
45,43.68548145
21,42.836227
49,39.221155
51,55.92352028
23,39.6549694
33,37.67732452
45,46.23249827
24,40.86694644
55,55.86730401
54,48.67132634
52,35.64595683
42,41.11043501
23,40.75258509
53,48.53563378
26,37.62312639
47,50.29749828
65,44.94264069
52,42.56700002
26,44.45641353
32,37.49659322
22,51.28187544
28,39.78706147
32,41.72534707
53,41.79322609
24,36.76774038
22,30.82616929
31,46.8127023
54,44.41492078
49,36.21674267
42,55.39374897
49,37.78044404
33,43.53892775
25,38.49373746
35,41.05792289
47,47.7443748
44,38.92437545
50,46.49230878
61,52.74732969
54,46.81534384
43,43.2365006
55,50.31660675
65,48.37922983
47,55.06701688
59,49.45469343
48,44.2257985
61,46.40847484
25,45.13652925
52,49.08320129
27,37.75280959
38,45.72301061
57,56.67063347
46,36.63973283
42,46.28087184
47,35.26783253
54,45.79437324
31,41.50147979
54,31.78454705
63,47.06682752
45,35.7723981
33,32.89635201
57,56.05017581
50,48.50779854
41,44.40017662
48,44.16155103
43,41.5318304
54,37.48864088
30,36.61440833
30,49.78912257
32,49.37348614
50,36.94717027
38,39.5188422
64,43.32139457
41,40.8628759
64,39.13320965
65,42.21623004
60,45.26996654
61,49.86963678
28,44.88947391
43,37.32132072
47,32.05605846
51,54.15889315
50,53.56405564
60,50.4091332
28,50.79087318
49,52.74086595
48,45.68935135
63,49.46064069
